"Auction","description_name","description_url","description_sale_info","description_BaT_Essentials_1_name","description_BaT_Essentials_2_name","description_BaT_Essentials_3_name","description_BaT_Essentials_4_name","description_BaT_Essentials_5_name","description_BaT_Essentials_6_name","description_BaT_Essentials_7_name","description_BaT_Essentials_8_name","description_BaT_Essentials_9_name","description_BaT_Essentials_10_name","description_BaT_Essentials_11_name","description_BaT_Essentials_12_name","description_BaT_Essentials_13_name","description_BaT_Essentials_14_name","description_BaT_Essentials_15_name","description_BaT_Essentials_16_name","description_BaT_Essentials_17_name","description_BaT_Essentials_18_name","description_BaT_Essentials_19_name","description_BaT_Essentials_20_name","description_BaT_Essentials_21_name","description_BaT_Essentials_22_name","description_BaT_Essentials_23_name","description_BaT_Essentials_24_name","Remove"
"","2007 Mercedes-Benz SL55 AMG","https://bringatrailer.com/listing/2007-mercedes-benz-sl55-amg-13/","Sold for $26,157 on 6/15/20","Location: San Rafael, California 94901","Chassis: WDBSK72FX7F132900","40k Miles Shown","Supercharged 5.4-Liter V8","5-Speed Automatic Transmission","Iridium Silver over Black Leather","19"" AMG Alloy Wheels","Retractable Hardtop w/ Panoramic Roof","Bi-Xenon Headlamps","Heated & Ventilated Power Seats","COMAND Infotainment","Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $145 Document Fee for California Buyers Only","","","","","","","","","","","1"
"","37k-Mile 2001 Mercedes-Benz SL500","https://bringatrailer.com/listing/2001-mercedes-benz-sl500-31/","Sold for $21,250 on 6/15/20","Location: Morristown, New Jersey 07960","Chassis: WDBFA68F21F196846","37k Miles Shown","5.0-Liter V8","Five-Speed Automatic Gearbox","Neve White w/ Black Soft Top","Saffron Leather Interior","Removable Hardtop","AMG Sport Package","18"" AMG wheels","Power-Adjustable Seats","Automatic Climate Control","Cruise Control","Car Cover","Top Stand w/ Cover","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","1"
"","30k-Mile 2002 Toyota Tacoma SR5 PreRunner","https://bringatrailer.com/listing/2002-toyota-tacoma-sr5-prerunner/","Sold for $14,800 on 6/15/20","Location: Mesa, Arizona 85205","Chassis: 5TESN92N62Z055725","30k Miles Shown","3.4L V6","4-Speed Automatic Transmission","Vision Bed Cap","16"" Pro Comp Wheels","Registered in Arizona From New","Longterm Previous Ownership","Factory Manuals","Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","23k-Mile 1993 Chevrolet Camaro Z28 Indy 500 Pace Car Edition","https://bringatrailer.com/listing/1993-chevrolet-camaro-5/","Bid to $9,400 on 6/15/20","Location: Warminster, Pennsylvania 18974","Chassis: 2G1FP22P0P2111810","23k Miles Shown","5.7-Liter LT1 V8","Four-Speed Automatic Transmission","Black and White over Black and White","One of 645 Pace Car Editions Built","T-Bar Roof","Power Windows","Cruise Control","Air Conditioning","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $275 Document Fee","","","","","","","","","","","1"
"","41k-Kilometer 2002 BMW M3 6-Speed","https://bringatrailer.com/listing/2002-bmw-m3-118/","Sold for $22,000 on 6/15/20","Location: Cantley, Quebec, Canada","Chassis: WBSBL93462JR17680","41k Kilometers (~25k Miles)","3.2-Liter Inline-Six","Six-Speed Manual Transmission","M Variable Lock Differential","Carbon Black Metallic/Imola Red Leather","Xenon Headlights","Fog Lamps","Harman Kardon Audio","Service Records","Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","1988 Porsche 911 Carrera Coupe","https://bringatrailer.com/listing/1988-porsche-911-carrera-67/","Sold for $58,000 on 6/15/20","Location: Bellingham, Washington 98226","Chassis: WP0AB091XJS121215","79k Miles Shown","3.2-Liter Flat-Six","Five-Speed Manual Gearbox","Guards Red over Black Leather","Power-Adjustable Sport Seats","16"" Fuchs Wheels","Sunroof","Air Conditioning","Cruise Control","Porsche Production Specifications Certificate","Service Records","Clean AutoCheck Report","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","29k-Mile 1994 Chevrolet Corvette","https://bringatrailer.com/listing/1994-chevrolet-corvette-20/","Sold for $11,751 on 6/15/20","Location: Gaithersburg, Maryland 20878","Chassis: 1G1YY22P6R5107130","29k Miles Shown","5.7-Liter LT1 V8","Four-Speed Automatic Transmission","Admiral Blue over Black","Borla S-Type Exhaust","Bilstein Shocks","SLP Cold Air Intake","Kenwood Navigation Unit","Alpine Security Alarm","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","1953 Dodge M37","https://bringatrailer.com/listing/1953-dodge-m37-2/","Bid to $10,500 on 6/15/20","Location: Bradenton, Florida 34212","Chassis: 80253807","230ci T-245 L-Head Inline-Six","4-Speed Manual Transmission","Dual-Range 4WD Transfer Case","12-Volt Electrical System","Canvas Cab Cover","PTO-Driven Winch","Private Party or Dealer: Private Party","","","","","","","","","","","","","","","","1"
"","46k-Mile 2002 Porsche 911 Turbo 6-Speed","https://bringatrailer.com/listing/2002-porsche-911-turbo-89/","Sold for $45,250 on 6/15/20","Location: Glendale, California 91207","Chassis: WP0AB29992S685893","46k Miles","Twin-turbocharged 3.6L Flat-Six","Six-Speed Manual Gearbox","All-Wheel-Drive","Seal Grey Metallic","Grey Natural Supple Leather Interior","Heated Front Seats","JL Audio Sound System w/ Subwoofers","Rear-View Camera System","Pioneer Head Unit w/ Apple CarPlay","18"" Wheels w/ Replacement Continental Tires","Recent Brake Service","ByDesign/COBB Tuning Software","Europipe Exhaust","Service Records","Carfax Report","Private Party or Dealer: Private Party","","","","","","1"
"","No Reserve: Fuchs 15×6″ Wheels for Porsche 911","https://bringatrailer.com/listing/fuchs-34/","Sold for $2,550 on 6/15/20","Location: Tuxedo Park, New York 10987","Part Number 911.361.020.10","Set of Four Fuchs Wheels","15x6″ with 36mm Offset","Refinished","Anodized Spokes and Lips","Black Recessed Areas","","","","","","","","","","","","","","","","","","1"
"","2004 Dodge Ram SRT-10 6-Speed","https://bringatrailer.com/listing/2004-dodge-ram-srt-10-7/","Sold for $22,400 on 6/15/20","Location: Kingwood, Texas 77339","Chassis: 3D7HA16H84G182962","28k Miles Shown","8.3L Viper V10","6-Speed Manual Gearbox","Hurst Shifter","Flame Red Clear Coat","Dark Slate Gray Interior","JTSVP Lowering Kit","JTSVP Dual Electric Fans","K&N Cold-Air Intake","MagnaFlow Exhaust","Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","1964 Chevrolet Corvair Monza Spyder Coupe 4-Speed","https://bringatrailer.com/listing/1964-chevrolet-corvair-monza-17/","Bid to $7,100 on 6/15/20","Location: Panama City, Florida 32408","Chassis: 40627W114737","92k Miles Shown, TMU","Turbocharged 164ci Flat-Six","Four-Speed Manual Transaxle","Red over Red","Replacement Interior","American Racing Wheels","Chrome Bumpers","Spare Parts","Factory Literature","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","1989 Porsche 911 Speedster","https://bringatrailer.com/listing/1989-porsche-911-speedster-19/","Sold for $132,000 on 6/15/20","Location: Roswell, Georgia 30076","Chassis: WP0EB0918KS173736","61k Miles","Numbers-Matching 3.2-Liter Flat-Six","Numbers-Matching G50 Five-Speed Transaxle","Limited-Slip Differential","Special Ordered in Light Blue Metallic","Marine Blue Partial Leather","Dark Blue Soft Top","Shorter Gear Shift Lever","Dansk Exhaust","Porsche Classic Navigation Radio","Air Conditioning","Sport Seats","Engine Rebuilt in March 2020","Porsche Classic Technical Certificate","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $595 Document Fee","","","","","","1"
"","No Reserve: 2000 Porsche 911 Carrera Coupe","https://bringatrailer.com/listing/2000-porsche-911-carrera-88/","Sold for $18,000 on 6/15/20","Location: Santa Cruz, California 95060","Chassis: WP0RR2991YS622816","72k Miles","3.4-Liter Flat-Six","Five-Speed Automatic Gearbox","Arctic Silver Metallic","Extended Tan Natural Leather","18″ Turbo-Look Wheels","Automatic Climate Control","Porsche Stability Management","Sunroof","Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","1954 Kaiser Special 3-Speed","https://bringatrailer.com/listing/1954-kaiser-special/","Sold for $21,250 on 6/15/20","Location: North Hollywood, California 91605","Chassis: 022694","40k Miles Shown, TMU","226ci Inline-Six","3-Speed Manual Transmission","Raven Black over Persian Gray","AM Radio","Braking & Fuel Systems Refurbished","Manufacturer's Literature","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $50 Document Fee","","","","","","","","","","","","","","1"
"","No Reserve: 1975 Honda CB550F Super Sport","https://bringatrailer.com/listing/1975-honda-cb550-f1-super-sport-2/","Sold for $3,250 on 6/15/20","Location: Rock Hill, South Carolina 29730","Chassis: CB550F1004214","5k Indicated Miles, TMU","Matte Gray & Black w/Tricolor Stripes","544cc inline-four","5-Speed Transmission","Custom Tail Piece & Seat","Shortened Front Fender","New Black-Anodized Rims, Spokes & Tires","LED Lighting","UNI Air Filter","Delkevic Four-into-One Exhaust System","New Chain, Battery, Switches, Fuel Parts","Rebuilt Front Brake, Fork, Carburetors","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","1996 Toyota Land Cruiser FZJ80","https://bringatrailer.com/listing/1996-toyota-land-cruiser-fj80-18/","Sold for $21,500 on 6/15/20","Location: Driggs, Idaho 83422","Chassis: JT3HJ85J0T0136637","166k Miles Shown","4.5-Liter Inline-Six","4-Speed Automatic Transmission","2-Speed Transfer Case","Three Locking Differentials","Dark Emerald Pearl Over Tan Leather","ARB Front Bumper","Third-Row Seating","Powder Coated Wheels & Newer Tires","Clean AutoCheck Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","1971 Volvo 1800E","https://bringatrailer.com/listing/1971-volvo-1800e-21/","Sold for $19,500 on 6/15/20","Location: Vancouver, British Columbia, Canada V6J 5L8","Chassis: 184353034972","117k Miles Shown, TMU","2.0-Liter B20E Inline-Four","Four-Speed Manual Gearbox w/Overdrive","White over Red","Clarion AM/FM Radio","Electronic Ignition System","Momo Steering Wheel","Tires Installed in 2020","Spare Parts","Manufacturer's Literature","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","1972 Mercedes-Benz 600","https://bringatrailer.com/listing/1972-mercedes-benz-600-3/","Sold for $90,000 on 6/15/20","Location: Endicott, New York 13760","Chassis: 10001212002079","14k Miles Shown, Odometer Rolled Over","6.3-Liter M100 V8","Four-Speed Automatic Transmission","Olive Green over Cognac Leather","Short Wheelbase Variant","Pneumatic Suspension System","Hydraulic Comfort Features","Front/Rear Air Conditioning","Power Sunroof","Recent Repaint","Seats Recovered in 2020","Air Valves Replaced in 2020","Service Invoices from 1990-Present","Factory Data Card","Copy of Original Window Sticker","Private Party or Dealer: Dealer","Additional Charges From This Dealer:","USD $75 Document Fee","","","","","1"
"","No Reserve: 1975 Maico MC250","https://bringatrailer.com/listing/1975-maico-mc-250-wheelsmith/","Sold for $3,800 on 6/15/20","Location: Mesa, Arizona 85210","Chassis: 3211624","TMU","247cc Two-Stroke Single","Five-Speed Transmission","Refinished in Yellow","Black Upholstered Seat","MX-Style Handlebar","Motocross Tires","Private Party or Dealer: Private Party","","","","","","","","","","","","","","","1"
"","18k-Mile 2003 BMW Alpina Roadster V8","https://bringatrailer.com/listing/2003-bmw-z8-alpina-4/","Sold for $185,000 on 6/15/20","Location: Paradise Valley, Arizona 85253","Chassis: WBAEJ13483AH62207","18k Miles Shown","4.8L M62 V8","5-Speed Steptronic Automatic Transmission","#139 Of 555 Alpina Z8s Built","Black over Black Leather","Factory Hardtop & Stand","Tool Kit","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","","1"
"","1913 Rolls-Royce 40/50 London-to-Edinburgh Silver Ghost","https://bringatrailer.com/listing/1913-rolls-royce-silver-ghost-london-edinburgh-tourer/","Sold for $657,913 on 6/15/20","Location: Saint Louis, Missouri 63146","Chassis: 2371","One of 188 London-to-Edinburgh Models","Colonial-Type Chassis","Originally Owned by A. Janesich","Restored in the 1990s","Replica Barker Body","7,428cc Straight-Six (#10K)","Replacement Three-Speed Gearbox","Beige Soft Top","C.A. Vandervell Electrical System","Wire Wheels w/ Demountable Rims","Copies of Factory Build Sheets","Copies of Factory Records up to 1928","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","1"
"","No Reserve: 2001 Honda S2000","https://bringatrailer.com/listing/2001-honda-s2000-58/","Withdrawn by BaT on 6/14/20","Location: Rockville, Maryland 20852","Chassis: JHMAP114X1T002702","66,500 Miles","2.0-Liter VTEC Inline-Four","Six-Speed Manual Transmission","New Formula Red over Black Leather","Black Soft Top","AEM Intake","Relocated Battery","Accident-Free Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","","1"
"","Supercharged 1974 Mini 5-Speed","https://bringatrailer.com/listing/1974-mini-mk-iii/","Withdrawn by BaT on 6/14/20","Location: Santa Fe, New Mexico 87505","Chassis: XL2S1N 172685A","43k Miles Shown, TMU","Supercharged 1,312cc Inline-Four","Five-Speed Manual Transmission","Repainted Blue","Fender Flares","13"" Ultralite Wheels","Spax Coilovers","Corbeau Seats","OBP Pedal Box","Parts Receipts","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","No Reserve: 46k-Mile 1985 Mercedes-Benz 190E 2.3","https://bringatrailer.com/listing/1985-mercedes-benz-190e-2-3-6/","Sold for $9,100 on 6/12/20","Location: Delavan, Wisconsin 53115","Chassis: WDBDA24CXFF118589","46k Miles Shown","2.3-Liter Inline-Four","4-Speed Automatic Transmission","Smoke Silver Metallic","Cream Beige MB-Tex Interior","Automatic Climate Control","Power Sunroof","Becker Stereo","Factory Literature","Longterm Family Ownership","Service Records","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","1"
"","No Reserve: 24-Years-Owned 1976 Mercedes-Benz 450SL","https://bringatrailer.com/listing/1976-mercedes-benz-450sl-26/","Sold for $18,000 on 6/12/20","Location: Dover, Massachusetts 02030","Chassis: 10704412029426","40k Miles Shown","4.5-Liter M117 V8","Three-Speed Automatic Transmission","Astral Silver","Blue MB-Tex","Blue Cloth Top","Matching Hardtop Included","Becker Europa Stereo","Electric Windows","Air Conditioning","14"" Bundt Alloys","Data & Warranty Cards","Service Records","Private Party or Dealer: Private Party","","","","","","","","","1"
"","1974 Alfa Romeo GTV 2000","https://bringatrailer.com/listing/1974-alfa-romeo-gtv-2000-6/","Bid to $41,000 on 6/12/20","Location: Los Angeles, California 90025","Chassis: AR3024998","12k Miles Shown, TMU","2.0L Twin-Cam Inline-Four","5-Speed Transmission","Repaint in Red","Black Interior","14"" GTA Wheels","Wes Ingram SPICA Pump","Wes Ingram Stage III Cylinder Head","Aftermarket Exhaust Cam","Modified Suspension","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","1994 Mercedes-Benz E320 5-Speed","https://bringatrailer.com/listing/1994-mercedes-benz-e320-28/","Sold for $8,500 on 6/12/20","Location: Duluth, Georgia 30096","Chassis: WDBEA32E8RC044240","123k Miles Shown","3.2-Liter M104 Inline-Six","Five-Speed Manual Transmission","Black over Black","Automatic Climate Control","MagnaFlow Exhaust","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","","","1"
"","No Reserve: 1971 Honda CT70","https://bringatrailer.com/listing/1971-honda-ct70-trail-70-2/","Sold for $4,800 on 6/12/20","Location: Phoenix, Arizona 85018","Chassis: CT70282083","Refurbished in 2016-2017","6 Miles Shown, TMU","72cc Four-Stroke Single","3-Speed Semi-Automatic Transmission","Candy Gold Paint","Refurbishment Photos","Tool Pouch","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","","","1"
"","1966 Chevrolet Corvette Convertible 5-Speed","https://bringatrailer.com/listing/1966-chevrolet-corvette-convertible-28/","Bid to $31,500 on 6/12/20","Location: Poway, California 92064","Chassis: NCS84218","5,600 Miles Shown, TMU","427ci V8","Tremec Five-Speed Manual Transmission","Repaint in Yellow","Replacement Black Convertible Top","Black Vinyl Interior","Flared Fenders","Cragar Wheels","Side-Exit Exhaust","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","No Reserve: 1972 Honda CB350F","https://bringatrailer.com/listing/1972-honda-cb350-7/","Sold for $4,300 on 6/12/20","Location: Powhatan, Virginia 23139","Chassis: CB350F1031412","10k Miles Shown","347cc Inline-Four","5-Speed Manual Transmission","CB400F Fuel Tank, Foot Controls & Headers","4-Into-1 Exhaust w/Black Muffler","Modified Seat & Fenders","Aftermarket Rear Shocks","Replacement Tachometer","Carburetors Synchronized","Timing & Valves Adjusted","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","No Reserve: Alfa Romeo GTAm Painting by Felix Holst","https://bringatrailer.com/listing/alfa-romeo-gtam-painting-by-felix-holst/","Sold for $5,100 on 6/12/20","Location: Los Angeles, California 90025","Original Artwork by Felix Holst","Mixed Acrylic and Spray Paint","Wood Framing w/ Canvas","30x40"" Dimensions","","","","","","","","","","","","","","","","","","","","1"
"","No Reserve: 1937 MG TA Project","https://bringatrailer.com/listing/1937-mg-ta/","Sold for $15,500 on 6/12/20","Location: Eustis, Florida 32726","Chassis: TA0742","49k Miles Shown, TMU","1,292cc MPJM Inline-Four","4-Speed Manual Transmission","Red over Red Leather","Tan Soft Top","Refurbished in the 1960s","19"" Wire Wheels","Wooden Dash","Jaeger Instrumentation","Refurbishment Records","Service Manual","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","1"
"","1931 Ford Roadster Hot Rod","https://bringatrailer.com/listing/1931-ford-roadster-7/","Bid to $28,500 on 6/12/20","Location: Lodi, California 95242","Chassis: SOS267579ILL","8k Miles Shown, TMU","1960s Garage Build","425ci Buick Nailhead V8","Three-Speed TH400 Automatic Transmission","1956 Chevrolet Rear End w/ Positraction","Channeled Model A Roadster Body","1932 Ford Frame","Candy Apple Amber Lacquer","Chrome Astro Wheels","Chrome Frame & Underside","Six Stromberg Carburetors","Weiand Intake & Valve Covers","Black Diamond Tuck Upholstery","Ford Hydraulic Drum Brakes","Period Build Photographs","Magazine Features","Private Party or Dealer: Private Party","","","","","","1"
"","No Reserve: 1978 Honda CB750F Super Sport","https://bringatrailer.com/listing/1978-honda-cb750f/","Sold for $7,100 on 6/12/20","Location: Atascadero, California 93422","Chassis: CB750F2202055","22k Miles Shown","736cc SOHC Inline-Four","Five-Speed Transmission","Red with Black Seat","Comstar Wheels","4-Into-1 Exhaust","Private Party or Dealer: Private Party","","","","","","","","","","","","","","","","1"
"","1995 Mercedes-Benz E320 Cabriolet","https://bringatrailer.com/listing/1995-mercedes-benz-e320-cabriolet-78/","Sold for $18,750 on 6/12/20","Location: Clarksville, Tennessee 37043","Chassis: WDBEA66E5SC181878","63k Miles","3.2-Liter M104 Inline-Six","Four-Speed Automatic Transmission","Midnight Blue over Blue Leather","Blue Soft Top","17"" AMG Monoblock Wheels","Automatic Climate Control","Power-Adjustable & Heated Front Seats","Service Records","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","No Reserve: 2006 Porsche Cayenne Turbo S","https://bringatrailer.com/listing/2006-porsche-cayenne-turbo-s/","Sold for $15,000 on 6/12/20","Location: Los Angeles, California 90025","Chassis: WP1AC29P46LA93327","88k Miles","Twin-Turbocharged 4.5L V8","6-Speed Automatic","All-Wheel-Drive","Marine Blue Metallic","Sand Beige Leather","20"" Sport Design Wheels","Air Suspension","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","No Reserve: 1962 Chevrolet Impala","https://bringatrailer.com/listing/1962-chevrolet-impala-6/","Sold for $22,750 on 6/12/20","Location: Sarasota, Florida 34233","Chassis: 21847B102014","61k Miles Shown","283ci V8","2-Speed Automatic Transmission","Roman Red over Red","Gunmetal and Silver Interior","Vintage Air A/C","Service Records","Period Brochures and Manuals","Award Certificates","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","1"
"","4k-Mile 2014 Ford Mustang GT Holman & Moody TdF","https://bringatrailer.com/listing/2014-ford-mustang-18/","Bid to $25,500 on 6/12/20","Location: Manchester Center, Vermont 05255","Chassis: 1ZVBP8CF4E5200499","4k Miles","5.0-Liter V8","Six-Speed Manual Transmission","Race Red","Charcoal Black Leather Interior","Holman & Moody TdF Edition","19"" Holman & Moody Wheels","Adjustable Shock Absorbers","Recaro Seats","Spare Wheels and Tires","Holman & Moody Literature","Accident-Free Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","1964 Mercedes-Benz 220SE Coupe","https://bringatrailer.com/listing/1964-mercedes-benz-220se-coupe-2/","Bid to $26,750 on 6/12/20","Location: East York, Ontario, Canada","Chassis: 11102110050463","54k Miles Shown, TMU","2.2-Liter Inline-Six","Four-Speed Manual Transmission","Black over Tan Leather","Bosch Mechanical Fuel Injection","Tri-Band Radio","Transmission & Differential Resealed","Clutch Slave Cylinder Rebuilt","Cold-Start System & Injection Pump Repaired","Owner's Manual","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","1991 Jeep Grand Wagoneer","https://bringatrailer.com/listing/1991-jeep-grand-wagoneer-24/","Bid to $27,250 on 6/12/20","Location: Jupiter, Florida 33478","Chassis: 1J4GS5876MP801675","76k Miles Shown","5.9L V8","Three-Speed Automatic Transmission","Dual-Range Transfer Case","Dark Cordovan Metallic over Maroon Leather","Replacement Faux Wood Paneling","Power Front Seats","Air Conditioning","Fog Lamps","AM/FM Cassette Stereo","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","15k-Mile 2004 Porsche 911 Carrera 4S Cabriolet 6-Speed","https://bringatrailer.com/listing/2004-porsche-911-carrera-4s-34/","Sold for $40,500 on 6/12/20","Location: La Habra, California 90631","Chassis: WP0CA29944S652816","15k Miles Shown","3.6-Liter Flat-Six","6-Speed Manual Transaxle","All-Wheel Drive","Black w/Black Soft Top","Xenon Headlights","Cinnamon Brown Full Leather w/Aluminum Accents","Bose Sound System","Technic Package","LN IMS Bearing in May 2019","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","200-Mile 2019 McLaren 600LT Coupe","https://bringatrailer.com/listing/2019-mclaren-600lt-coupe/","Bid to $180,000 on 6/12/20","Location: Laval, Quebec, Canada","Chassis: SBM13RAA9KW006717","200 Miles Shown","Twin-Turbocharged 3.8-Liter V8","Seven-Speed Dual-Clutch Transaxle","Saros Elite Paint","Black Alcantara Interior","Diamond-Cut Forged Alloy Wheels","Vehicle Lift System","Bowers & Wilkins Audio System","Carbon-Fiber Exterior Upgrades 1 and 2","Soft-Close Doors","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","1"
"","1997 BMW M3 Coupe 5-Speed","https://bringatrailer.com/listing/1997-bmw-m3-165/","Sold for $18,755 on 6/12/20","Location: Rocklin, California 95765","Chassis: WBSBG9329VEY73657","143k Miles Shown","3.2-liter S52 Inline-Six","Five-Speed Manual Transmission","Alpine White III","Gray Leather","Dinan S1 Package","Reupholster Vader Seats","Non-Sunroof Model","Service Records","Books and Manuals","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","1"
"","Porsche 356 Speedster Replica by Vintage Speedsters","https://bringatrailer.com/listing/1957-porsche-356-speedster-replica-4/","Bid to $32,000 on 6/12/20","Location: Fresno, California 93720","Chassis: 115305838","13k Kilometers (~8k Miles) Shown","Rebuilt 2,110cc VW Flat-Four","4-Speed Manual Gearbox","Refinished in Silver","Black Soft Top & Boot Cover","Black Interior","RetroSound Bluetooth Stereo","Sound System w/ Alpine Amplifier","Exterior Trim Removed & Smoothed","Build List","Private Party or Dealer: Dealer","Additional Charges From This Dealer: $0","","","","","","","","","","","1"
"","No Reserve: 2002 BMW 530i Sport 5-Speed","https://bringatrailer.com/listing/2002-bmw-530i-15/","Sold for $16,000 on 6/12/20","Location: Moonachie, New Jersey 07074","Chassis: WBADT53402CE93202","75k Miles","3.0-Liter M54 Inline-Six","Five-Speed Manual Gearbox","Alpine White over Black Leather","Power-Adjustable Front Sport Seats","Sport Package","Premium Package","17"" Style 42 Wheels w/ Replacement Tires","Glass Sunroof","Xenon Headlights","Window Sticker","One-Owner History","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","1"
"","1966 Chevrolet C10 Fleetside Pickup","https://bringatrailer.com/listing/1966-chevrolet-c10-pickup-16/","Sold for $18,850 on 6/12/20","Location: North Salem, New York 10560","Chassis: C1446B125975","30k Miles Shown, TMU","250ci Inline-Six","Three-Speed Manual Gearbox","Fleetside Model","Refinished in Turquoise","Beige Vinyl Interior","Lap Belts","Black 15"" Steel Wheels w/ White Hubcaps","AM Radio","Recent Service","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","21k-Mile 2004 Jeep Wrangler Unlimited","https://bringatrailer.com/listing/2004-jeep-wrangler-unlimited-3/","Sold for $23,500 on 6/12/20","Location: North Salem, New York 10560","Chassis: 1J4FA49S04P779765","21k Miles","4.0-liter Inline-Six","Four-Speed Automatic Transmission","Dual-Range Transfer Case","Bright Silver Metallic","Dark Slate Gray Cloth","Body Side Steps","15"" Alloy Wheels","Air Conditioning","Cruise Control","Two Keys","Manufacturer's Literature","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","1"
"","No Reserve: 1984 Honda V65 Magna VF1100C","https://bringatrailer.com/listing/1984-honda-magna-v65-vf1100-c/","Sold for $3,600 on 6/12/20","Location: Menasha, Wisconsin 54952","Chassis: 1HFSC1200EA112372","16k Miles Shown","Liquid-Cooled 1,098cc V4","6-Speed Transmission","Shaft Drive","Hydraulic Clutch","TRAC Anti-Dive Fork","Self-Cancelling Turn Signals","Reupholstered Two-Up Seat","New Front Tire","Tool Kit","Owner's Manual","Private Party or Dealer: Dealer","Additional Charges From This Dealer: Wisconsin Buyers Subject to Tax & Fees","","","","","","","","","","1"
"","No Reserve: 2003 Mini Cooper S 6-Speed","https://bringatrailer.com/listing/2003-mini-cooper-s-31/","Sold for $8,600 on 6/12/20","Location: Delavan, Wisconsin 53115","Chassis: WMWRE33423TD70653","70k Miles","Supercharged 1.6-Liter Inline-Four","Six-Speed Manual Gearbox","Liquid Yellow over Black & Gray Cloth","White Roof & Mirror Caps","S-Lite 17"" Wheels","Heated Front Sport Seats","Multi-Function Steering Wheel","Recent Throttle Body Replacement","Accident-Free Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","1986 Mercedes-Benz 300SDL","https://bringatrailer.com/listing/1986-mercedes-benz-300sdl-6/","Bid to $13,250 on 6/12/20","Location: Talent, Oregon 97540","Chassis: WDBCB25D0GA264160","67k Indicated Miles","3.0-Liter Turbodiesel Inline-Five","Four-Speed Automatic Transmission","Blue Green Metallic","Creme Beige Leather","Power Sunroof","Window Sticker","Service Booklet","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","1"
"","No Reserve: 2003 Honda RVT1000R RC51","https://bringatrailer.com/listing/2003-honda-rvt1000r-rc51/","Sold for $7,600 on 6/12/20","Location: Kinderhook, New York 12106","Chassis: JH2SC45343M300428","24k Miles Shown","Liquid-Cooled 999cc V-Twin","6-Speed Transmission","Red Fairings w/Honda Graphics & Custom Livery","Corbin Seat","Gold Wheels","Ladybird Exhaust System","Silicone Coolant Hoses","Second Engine & Overbored Cylinders Included","Additional Take-Off Parts","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
