"Auction","description_name","description_url","description_sale_info","description_BaT_Essentials_1_name","description_BaT_Essentials_2_name","description_BaT_Essentials_3_name","description_BaT_Essentials_4_name","description_BaT_Essentials_5_name","description_BaT_Essentials_6_name","description_BaT_Essentials_7_name","description_BaT_Essentials_8_name","description_BaT_Essentials_9_name","description_BaT_Essentials_10_name","description_BaT_Essentials_11_name","description_BaT_Essentials_12_name","description_BaT_Essentials_13_name","description_BaT_Essentials_14_name","description_BaT_Essentials_15_name","description_BaT_Essentials_16_name","description_BaT_Essentials_17_name","description_BaT_Essentials_18_name","description_BaT_Essentials_19_name","description_BaT_Essentials_20_name","description_BaT_Essentials_21_name","description_BaT_Essentials_22_name","description_BaT_Essentials_23_name","description_BaT_Essentials_24_name","Remove"
"","1990 Chevrolet Camaro Z28 IROC-Z 1LE 5-Speed","https://bringatrailer.com/listing/1990-chevrolet-camaro-z-28-iroc-z-5/","Sold for $13,801 on 6/29/20","Location: Raleigh, North Carolina 27606","Chassis: 1G1FP23F9LL134812","100k Miles Shown","5.0-Liter V8","Five-Speed Manual Tranmission","Refinished in Bright Blue","Gray Cloth Interior","1LE Package","Factory CD Player","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","","1"
"","Subaru-Powered Beck Speedster","https://bringatrailer.com/listing/1957-beck-356-speedster/","Sold for $45,023 on 6/29/20","Location: Phoenix, Arizona 85027","Chassis: 356000420","3,546 Miles Shown","2.5-Liter Subaru Flat-Four","4-Speed Manual Transaxle","Fiberglass Body in Silver","Four-Wheel Disc Brakes","Heater, Stereo, & Coco Floor Mats","Spec Sheet & Certificate of Origin","California BAR Decal","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","","1"
"","2004 Mercedes-Benz SL55 AMG","https://bringatrailer.com/listing/2004-mercedes-benz-sl55-amg-34/","Sold for $18,750 on 6/29/20","Location: Florence, Alabama 35634","Chassis: WDBSK74F74F064905","69k Miles","Supercharged 5.4-Liter V8","Five-Speed Automatic Transmission","Cubanite Silver Metallic","Folding Hardtop","Red Leather Interior","Multi-Contour Seats","Active Body Control Suspension","Window Sticker","Manufacturer's Literature","Service Records","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","1"
"","3k-Mile 2012 Ford Mustang Boss 302 Laguna Seca","https://bringatrailer.com/listing/2012-ford-mustang-boss-302-28/","Sold for $38,000 on 6/29/20","Location: Clifton Park, New York 12065","Chassis: 1ZVBP8CU9C525715","3,300 Miles","5.0-Liter V8","Six-Speed Manual Gearbox","Torsen Limited-Slip Differential","#546 of 767 2012 Laguna Secas Built","Black w/ Red Stripes & Accents","Color-Keyed 19"" Wheels","Front and Rear Spoilers","Brembo Front Calipers","Adjustable Suspension","Air Conditioning","Window Sticker","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","1"
"","1959 Bunce/Buck H-Modified Special","https://bringatrailer.com/listing/1959-bunce-buck-hmod/","Sold for $13,500 on 6/29/20","Location: Great Barrington, Massachusetts 01230","Chassis: NA","Ed Buck H-Modified Body","Renault Gordini 845cc Inline-Four","Four-Speed Renault Manual Transaxle","Renault 4CV Running Gear","Refurbished in the 2000s","Spare Engine Block/Cylinder Head/Oil Pan","Parts Collection & Spare Wheels","Tool Kit","Refurbishment Records","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","1996 Chevrolet Impala SS","https://bringatrailer.com/listing/1996-chevrolet-impala-22/","Sold for $19,750 on 6/29/20","Location: Frederick, Maryland 21702","Chassis: 1G1BL52P3TR168733","6k Miles Shown","5.7-Liter LT1 V8","4-Speed Automatic Transmission","Limited-Slip Differential","Dark Cherry Metallic over Gray Leather","4-Wheel Disc Brakes w/ABS","9C1 Police-Spec Suspension","Dual Exhaust System","Delco CD Stereo","K&N Cold Air Intake","Factory Literature","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","1"
"","No Reserve: 1987 Plymouth Reliant LE K Coupe","https://bringatrailer.com/listing/1987-plymouth-reliant-2/","Sold for $1,800 on 6/29/20","Location: Lakeside, California 92040","Chassis: 3P3BP31K1HT702283","60k Miles Shown","2.5L Inline-Four","3-Speed Automatic Transmission","Garnet Red Pearl Over Red Cloth","Dual Remote Side Mirrors","Air Conditioning","Tilt Steering","Cruise Control","Recent Timing Belt Replacement","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","2004 Mercedes-Benz G55 AMG","https://bringatrailer.com/listing/2004-mercedes-benz-g55-amg-5-2/","Sold for $39,000 on 6/29/20","Location: Fort Worth, Texas 76119","Chassis: WDCYR46EX4X142639","95k Miles Shown","5.4-Liter V8","Five-Speed Automatic Transmission","Two-Speed Transfer Case","Three Locking Differentials","Brilliant Silver over Black Leather","20"" AMG Wheels","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","","1"
"","10k-Mile 2006 Porsche Cayman S 6-Speed","https://bringatrailer.com/listing/2006-porsche-cayman-s-76/","Sold for $30,250 on 6/29/20","Location: Kingwood, Texas 77345","Chassis: WP0AB29866U780865","10k Miles","3.4-Liter Flat-Six","Six-Speed Manual Transaxle","Midnight Blue Metallic","Sea Blue Full Leather","Adaptive Sport Seats","Sport Chrono Package Plus","Bose Surround Sound","19"" Sport Design Wheels","DME Report","Window Sticker","Manufacturer's Literature","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","1"
"","No Reserve: 1972 Honda XL250 Motorsport","https://bringatrailer.com/listing/1972-honda-xl250-motorsport/","Sold for $8,600 on 6/29/20","Location: Fort Myers, Florida 33966","Chassis: XL2501000918","1,400 Miles Shown, TMU","248cc Four-Stroke Single","Five-Speed Transmission","Refinished Custom Silver Metallic","Black-Upholstered Seat","Wire Wheels","Factory Literature","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","","","1"
